gpu,kernel_id,kernel_name,M,N,K,sm_throughput_pct,dram_throughput_pct,l2_hit_rate_pct,l1_hit_rate_pct,bank_conflicts_ld,bank_conflicts_st,registers_per_thread,occupancy_pct
NVIDIA_GeForce_RTX_3090,0,cuBLAS,512,512,512,51.83,8.56,91.98,0,0,241664,82,25.28
NVIDIA_GeForce_RTX_3090,1,1_Naive,512,512,512,9.34,0.26,82.89,99.12,0,0,40,65.55
NVIDIA_GeForce_RTX_3090,2,2_GMEM_Coalescing,512,512,512,75.72,5.24,89.79,94.90,0,0,40,66.30
NVIDIA_GeForce_RTX_3090,3,3_SMEM_Caching,512,512,512,65.06,3.13,91.50,3.09,0,64251,40,66.50
NVIDIA_GeForce_RTX_3090,4,4_1D_Blocktile,512,512,512,34.81,4.11,83.08,5.56,0,7935,57,33.25
NVIDIA_GeForce_RTX_3090,5,5_2D_Blocktile,512,512,512,4.60,1.23,81.49,60.08,1048576,0,112,16.64
NVIDIA_GeForce_RTX_3090,6,6_Vectorized,512,512,512,8.76,4.17,72.80,23.64,524288,32768,102,16.62
NVIDIA_GeForce_RTX_3090,7,7_Bank_Extra_Col,512,512,512,8.07,3.06,64.29,23.50,753664,131072,107,16.62
NVIDIA_GeForce_RTX_3090,8,8_Warptiling,512,512,512,8.75,3.54,69.64,10.23,0,98304,168,8.32
NVIDIA_GeForce_RTX_3090,9,9_Double_Buffering,512,512,512,9.05,3.42,75.74,56.65,0,3467,210,8.32
NVIDIA_GeForce_RTX_3090,10,10_Transpose,512,512,512,9.36,0.26,81.81,99.09,0,0,39,65.76
NVIDIA_GeForce_RTX_3090,11,11_Recursive_Tile,512,512,512,69.06,3.13,91.25,3.01,0,36240,38,66.51
