"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","8.76"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","241,664"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","82"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","91.90"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","51.77"
"0","561351","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","25.28"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","24.63"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","52.21"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","15.84"
"1","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","63.22"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.26"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","99.09"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","39"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","54.95"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","9.33"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","65.76"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","24.59"
