"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","8.67"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","241,664"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","82"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","91.89"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","51.81"
"0","560557","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","25.24"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","4.82"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","8,061"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","5.56"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","57"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","83.57"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","34.79"
"1","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","33.23"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","4.11"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","7,935"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","5.56"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","57"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","83.08"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","34.81"
"2","560557","benchmark","127.0.0.1","void sgemm_1d_blocktile<64, 64, 8, 8>(int, int, int, float, const float *, const float *, float, float *)","1","7","(512, 1, 1)","(8, 8, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","33.25"
