"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","12.60"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","241,664"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","82"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","92.05"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","51.78"
"0","560941","benchmark","127.0.0.1","ampere_sgemm_64x32_sliced1x4_nn","1","7","(256, 1, 1)","(8, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","25.23"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","3.05"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","753,664"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","131,072"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","23.54"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","107"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","71.32"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","8.04"
"1","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","16.62"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","3.06"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","753,664"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","131,072"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","23.50"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","107"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","64.29"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","8.07"
"2","560941","benchmark","127.0.0.1","void sgemm_bank_padding_fast<128, 128, 8, 8, 8, 5>(int, int, int, float, const float *, const float *, float, float *)","1","7","(256, 1, 1)","(4, 4, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","16.62"
