gpu,BM,BN,BK,TM,TN,threads_per_block,M,N,K,time_ms,gflops
NVIDIA_GeForce_RTX_3090,128,128,4,8,8,256,2048,2048,2048,2.2560,7615.23
NVIDIA_GeForce_RTX_3090,128,128,8,8,8,256,2048,2048,2048,2.2772,7544.39
NVIDIA_GeForce_RTX_3090,128,128,16,8,8,256,2048,2048,2048,2.3373,7350.37
NVIDIA_GeForce_RTX_3090,128,128,32,8,8,256,2048,2048,2048,2.3568,7289.44
NVIDIA_GeForce_RTX_3090,128,128,8,4,4,1024,2048,2048,2048,2.0859,8236.24
NVIDIA_GeForce_RTX_3090,128,128,8,4,8,512,2048,2048,2048,2.8946,5935.06
NVIDIA_GeForce_RTX_3090,128,128,8,8,4,512,2048,2048,2048,2.4855,6911.92
NVIDIA_GeForce_RTX_3090,128,128,8,8,8,256,2048,2048,2048,2.0458,8397.43
NVIDIA_GeForce_RTX_3090,128,128,8,16,8,128,2048,2048,2048,3.3267,5164.26
NVIDIA_GeForce_RTX_3090,128,128,8,8,16,128,2048,2048,2048,3.8418,4471.78
NVIDIA_GeForce_RTX_3090,128,128,8,16,16,64,2048,2048,2048,4.3632,3937.42
NVIDIA_GeForce_RTX_3090,32,32,8,8,8,16,2048,2048,2048,11.1082,1546.60
NVIDIA_GeForce_RTX_3090,64,64,8,8,8,64,2048,2048,2048,3.2867,5227.14
NVIDIA_GeForce_RTX_3090,64,128,8,8,8,128,2048,2048,2048,2.6074,6588.86
NVIDIA_GeForce_RTX_3090,128,64,8,8,8,128,2048,2048,2048,2.7195,6317.26
NVIDIA_GeForce_RTX_3090,128,128,8,8,8,256,2048,2048,2048,2.0571,8351.60
NVIDIA_GeForce_RTX_3090,128,256,8,8,8,512,2048,2048,2048,2.1734,7904.46
NVIDIA_GeForce_RTX_3090,256,128,8,8,8,512,2048,2048,2048,2.2451,7652.09
NVIDIA_GeForce_RTX_3090,64,64,4,4,4,256,2048,2048,2048,1.6933,10145.59
NVIDIA_GeForce_RTX_3090,64,64,16,4,4,256,2048,2048,2048,2.3391,7344.57
NVIDIA_GeForce_RTX_3090,128,128,8,4,4,1024,2048,2048,2048,1.9338,8883.99
